,SchoolYear,OrganizationLevel,County,DistrictCode,DistrictName,DistrictOrganizationId,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities,Percent Low-income,Percent Non-Low Income,Percent Homeless,Percent Non-Homeless
15768,2020-21,District,Grays Harbor,14005,Aberdeen School District,100010,3310,1673,0,1637,85,48,36,1137,2,270,1732,431,100,70,2480,89,24,173,133,573,2879,3210,3240,830,3221,3286,3137,3177,2737,0.75,0.25,0.02,0.98
15783,2020-21,District,Lewis,21226,Adna School District,100011,591,293,1,297,5,4,6,45,0,10,521,0,25,8,173,0,8,19,8,64,591,566,583,418,591,583,572,583,527,0.29,0.71,0.01,0.99
15794,2020-21,District,Lincoln,22017,Almira School District,100012,121,57,0,64,0,1,1,6,0,12,101,0,0,1,43,0,0,6,0,14,121,121,120,78,121,121,115,121,107,0.36,0.64,0.01,0.99
15809,2020-21,District,Skagit,29103,Anacortes School District,100013,2592,1279,2,1311,23,48,20,294,1,225,1981,42,212,46,720,10,281,104,131,352,2550,2380,2546,1872,2582,2311,2488,2461,2240,0.28,0.72,0.02,0.98
15824,2020-21,District,Snohomish,31016,Arlington School District,100014,5478,2649,5,2824,49,73,35,814,14,466,4027,257,179,71,1970,39,119,181,215,835,5221,5299,5407,3508,5439,5359,5297,5263,4643,0.36,0.64,0.01,0.99
15839,2020-21,District,Asotin,2420,Asotin-Anatone School District,100015,619,301,0,318,2,6,1,30,3,34,543,0,45,1,201,0,5,11,8,96,619,574,618,418,619,614,608,611,523,0.32,0.68,0.00,1.00
15854,2020-21,District,King,17408,Auburn School District,100016,17065,8284,0,8781,186,1894,1396,5391,850,1701,5647,3686,547,39,9705,12,147,475,262,1973,13379,16518,17026,7360,17053,16918,16590,16803,15092,0.57,0.43,0.00,1.00
15869,2020-21,District,Kitsap,18303,Bainbridge Island School District,100017,3677,1787,1,1889,17,120,22,290,8,355,2865,51,467,15,270,0,75,76,572,484,3626,3210,3662,3407,3677,3602,3601,3105,3193,0.07,0.93,0.00,1.00
15875,2020-21,District,Pierce,27931,Bates Technical College,104220,380,79,0,301,7,6,36,52,7,21,251,0,0,0,0,1,3,77,0,0,380,380,380,380,379,377,303,380,380,0.00,1.00,0.00,1.00
15888,2020-21,District,Clark,6119,Battle Ground School District,100018,12072,5978,2,6092,66,306,133,1379,61,690,9437,794,703,148,3955,10,112,530,423,1806,11278,11369,11924,8117,12062,11960,11542,11649,10266,0.33,0.67,0.01,0.99
