,Week,DistrictName,DistrictCode,DistrictOrganizationId,Status,Model_Elementary,Model_Middle,Model_High,GradeLevels_Remote_Phasein,StudentGroups_Remote_Phasein,Other_Remote_Phasein,Enrollment_Elementary,FullTimeALE_Elementary,OptOut_Elementary,TypicalInPerson_Elementary,Weekly_Elementary,Enrollment_Middle,FullTimeALE_Middle,OptOut_Middle,TypicalInPerson_Middle,Weekly_Middle,Enrollment_High,FullTimeALE_High,OptOut_High,TypicalInPerson_High,Weekly_High,Sum of Enrollment,Sum of OptOut
0,1/18/2021,Adna School District,21226,100011,Complete,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,216,0,0,216,216,155,0,0,90,155,212,0,0,130,212,583,0
1,1/18/2021,Almira School District,22017,100012,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,48,0,0,48,48,21,0,0,21,21,20,0,0,20,20,89,0
2,1/18/2021,Arlington School District,31016,100014,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3","English Language Learners,Students with Disabilities,Other - Write In (Required)",Connectivity Needs,2263,0,0,1511,1511,1296,0,0,74,74,1702,0,0,120,120,5261,0
3,1/18/2021,Asotin-Anatone School District,2420,100015,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Partial In-Person for All Students,,,,256,0,0,246,246,144,0,0,136,136,192,0,0,93,93,592,0
4,1/18/2021,Auburn School District,17408,100016,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","Low Income,Students with Disabilities",,7295,0,0,40,80,3865,0,0,15,30,5421,0,0,18,36,16581,0
5,1/18/2021,Bainbridge Island School District,18303,100017,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",Students with Disabilities,,1201,0,0,30,30,1133,0,0,20,20,1332,0,0,20,20,3666,0
6,1/18/2021,Battle Ground School District,6119,100018,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,Grade K,"English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,All Students",,4000,0,0,1000,1000,3800,0,0,500,500,4000,0,0,500,500,11800,0
7,1/18/2021,Bellingham School District,37501,100020,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2","Students with Disabilities,Other - Write In (Required)","For middle and high, we have students attending our """"""""internet cafe"""""""" who learn remotely on-site. There are a variety of reasons for attending, including homelessness or ELL. ",4361,0,0,2220,2220,2467,0,0,136,136,3255,0,0,158,158,10083,0
8,1/18/2021,Benge School District,1122,100021,Complete,Partial In-Person for All Students,,,,,,15,0,0,10,13,0,0,0,0,0,0,0,0,0,0,15,0
9,1/18/2021,Bethel School District,27403,100022,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",All Students,,8959,0,0,180,901,4769,0,0,42,139,5171,0,0,47,156,18899,0
10,1/18/2021,Bickleton School District,20203,100023,Complete,Typical/Traditional In-Person,Typical/Traditional In-Person,Typical/Traditional In-Person,,,,53,0,0,53,53,19,0,0,19,19,35,0,0,35,35,107,0
11,1/18/2021,Blaine School District,37503,100024,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,986,0,0,341,341,510,0,0,180,180,670,0,0,235,235,2166,0
12,1/18/2021,Bremerton School District,18100,100026,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Low Income,Section 504,Students with Disabilities",,2088,0,0,52,39,1005,0,0,12,5,1296,0,0,43,22,4389,0
13,1/18/2021,Brewster School District,24111,100027,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,404,0,0,325,381,243,0,0,158,219,274,0,0,178,247,921,0
14,1/18/2021,Bridgeport School District,9075,100028,Complete,Phase-In,Phase-In,Phase-In,"Grade K,Grade 1,Grade 6,Grade 9,Grade 12",All Students,,313,0,0,206,313,193,0,0,97,193,226,0,0,168,226,732,0
15,1/18/2021,Brinnon School District,16046,100029,Complete,Partial In-Person for All Students,Partial In-Person for All Students,,,,,55,0,0,53,53,25,0,0,23,23,0,0,0,0,0,80,0
16,1/18/2021,Burlington-Edison School District,29100,100030,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,All Students",,1625,0,0,50,50,555,0,0,50,50,1117,0,0,50,50,3297,0
17,1/18/2021,Camas School District,6117,100031,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities,Other - Write In (Required),All Students",Academic and Mental Health Support,2819,0,0,750,1540,1743,0,0,100,298,2476,0,0,200,545,7038,0
18,1/18/2021,Cape Flattery School District,5401,100032,Complete,Phase-In,Phase-In,Phase-In,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",All Students,,271,0,0,75,75,107,0,0,19,19,137,0,0,36,36,515,0
19,1/18/2021,Carbonado School District,27019,100033,Complete,Partial In-Person for All Students,Partial In-Person for All Students,,,,,129,0,0,125,128,62,0,0,61,62,0,0,0,0,0,191,0
20,1/18/2021,Cascade School District,4228,100034,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,514,0,0,200,400,303,0,0,120,240,373,0,0,145,290,1190,0
21,1/18/2021,CASHMERE SCHOOL DISTRICT,4222,100035,Complete,Phase-In,Phase-In,Phase-In,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",All Students,,553,0,0,515,515,513,0,0,475,475,447,0,0,350,350,1513,0
22,1/18/2021,Centerville School District,20215,100037,Complete,Partial In-Person for All Students,Partial In-Person for All Students,,,,,70,0,0,70,70,17,0,0,17,17,0,0,0,0,0,87,0
23,1/18/2021,Central Kitsap School District,18401,100038,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1","English Language Learners,Foster Care,Low Income,Homeless,Section 504,Students with Disabilities,All Students",,4649,0,0,1368,0,2623,0,0,76,50,3733,0,0,127,50,11005,0
24,1/18/2021,Centralia School District,21401,100040,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,Other - Write In (Required)",students without internet,1900,0,0,760,1520,500,0,0,50,100,900,0,0,80,160,3300,0
25,1/18/2021,Chehalis School District,21302,100041,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1285,0,0,643,1285,655,0,0,328,655,1094,0,0,607,1094,3034,0
26,1/18/2021,Cheney School District,32360,100042,Complete,Phase-In,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Homeless,Section 504,Students with Disabilities,All Students",,2271,0,0,1306,1306,1223,0,0,61,61,1377,0,0,55,105,4871,0
27,1/18/2021,Chewelah School District,33036,100043,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,329,0,0,124,247,116,0,0,38,76,250,0,0,87,181,695,0
28,1/18/2021,Chief Leschi Tribal Compact,27901,106180,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12",All Students,,325,0,0,0,0,139,0,0,0,0,172,0,0,0,0,636,0
29,1/18/2021,Chimacum School District,16049,100044,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Phase-In,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,All Students",,372,0,0,253,253,110,0,0,0,0,229,0,0,29,29,711,0
30,1/18/2021,Clarkston School District,2250,100045,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1183,0,0,1022,999,375,0,0,322,271,877,0,0,719,688,2435,0
31,1/18/2021,Cle Elum-Roslyn School District,19404,100046,Complete,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,354,0,0,177,354,238,0,0,119,238,244,0,0,122,244,836,0
32,1/18/2021,Clover Park School District,27400,100047,Complete,Small Groups + Remote,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Low Income,Homeless,Students with Disabilities",,6157,0,0,138,554,2679,0,0,60,241,2904,0,0,65,260,11740,0
33,1/18/2021,Colfax School District,38300,100048,Complete,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,276,0,0,276,276,75,0,0,38,75,189,0,0,95,189,540,0
34,1/18/2021,College Place School District,36250,100049,Complete,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,"Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,Other - Write In (Required)",Students failing courses,692,0,0,585,585,375,0,0,45,45,483,0,0,75,75,1550,0
