,County,WeekStartDate,ProbableCases,ConfirmedCases,7-Day Count,7-Day Average,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,14-Day Count,14-Day Case Rate
0,Adams,5/31/2021,0,7,7,1.0,3,1,2,0,1,0,0,21,102.69
1,Asotin,5/31/2021,0,2,2,0.29,0,0,0,1,1,0,0,11,48.59
2,Benton,5/31/2021,6,136,142,20.29,36,45,25,21,15,0,0,271,131.75
3,Chelan,5/31/2021,21,9,30,4.29,5,14,4,2,2,3,0,63,79.09
4,Clallam,5/31/2021,4,13,17,2.43,0,4,6,3,1,3,0,55,71.64
5,Clark,5/31/2021,44,351,395,56.43,102,105,69,62,34,21,2,679,136.02
6,Cowlitz,5/31/2021,19,84,103,14.71,35,20,27,14,7,0,0,189,171.04
7,Douglas,5/31/2021,22,3,25,3.57,11,6,4,2,2,0,0,49,112.0
8,Ferry,5/31/2021,5,5,10,1.43,2,2,6,0,0,0,0,14,176.99
9,Franklin,5/31/2021,4,51,55,7.86,19,11,17,8,0,0,0,119,122.98
10,Garfield,5/31/2021,1,0,1,0.14,0,1,0,0,0,0,0,2,89.89
11,Grant,5/31/2021,19,37,56,8.0,17,12,17,3,7,0,0,140,139.82
12,Grays Harbor,5/31/2021,20,54,74,10.57,23,15,9,16,9,2,0,116,155.25
13,Island,5/31/2021,6,12,18,2.57,3,6,3,3,3,0,0,42,49.11
14,Jefferson,5/31/2021,1,4,5,0.71,1,0,0,2,2,0,0,19,59.02
15,King,5/31/2021,57,633,690,98.57,206,204,155,88,28,9,0,1250,55.29
16,Kitsap,5/31/2021,17,78,95,13.57,20,26,24,18,4,3,0,174,63.92
17,Kittitas,5/31/2021,9,39,48,6.86,12,16,7,8,5,0,0,80,166.18
18,Klickitat,5/31/2021,1,14,15,2.14,7,4,2,2,0,0,0,35,153.71
19,Lewis,5/31/2021,35,67,102,14.57,35,23,22,14,6,2,0,184,229.28
20,Lincoln,5/31/2021,2,34,36,5.14,18,3,4,5,4,2,0,57,515.84
21,Mason,5/31/2021,4,21,25,3.57,3,8,6,6,2,0,0,51,77.68
22,Okanogan,5/31/2021,14,22,36,5.14,13,6,5,9,1,2,0,73,169.26
23,Pacific,5/31/2021,2,10,12,1.71,1,4,2,3,0,2,0,18,82.42
24,Pend Oreille,5/31/2021,1,6,7,1.0,1,1,2,2,1,0,0,17,122.74
25,Pierce,5/31/2021,87,423,510,72.86,128,139,125,77,34,7,0,909,100.92
26,Skagit,5/31/2021,14,34,48,6.86,18,11,8,6,5,0,0,101,77.42
27,Skamania,5/31/2021,2,5,7,1.0,0,2,2,1,2,0,0,16,130.93
