,LEAName,Rate of OptOut
4,Adna School District,0.07
18,Almira School District,0.0
37,Arlington School District,0.04
56,Asotin-Anatone School District,0.04
75,Auburn School District,0.12
94,Bainbridge Island School District,0.13
126,Bellingham School District,0.09
145,Benge School District,0.13
178,Bickleton School District,0.03
197,Blaine School District,0.25
216,Bremerton School District,0.15
234,Brewster School District,0.06
266,Brinnon School District,0.06
283,Burlington-Edison School District,0.11
302,Camas School District,0.14
321,Cape Flattery School District,0.04
340,Carbonado School District,0.02
359,Cascade School District,0.24
388,Centerville School District,0.03
407,Central Kitsap School District,0.09
425,Centralia School District,0.11
444,Chehalis School District,0.12
463,Cheney School District,0.28
481,Chewelah School District,0.19
494,Chimacum School District,0.33
513,Clarkston School District,0.13
532,Cle Elum-Roslyn School District,0.09
551,Clover Park School District,0.16
569,Colfax School District,0.01
601,Colton School District,0.02
615,Columbia (Stevens) School District,0.07
629,Columbia (Walla Walla) School District,0.08
642,Colville School District,0.1
661,Concrete School District,0.15
678,Conway School District,0.13
695,Cosmopolis School District,0.1
707,Coulee-Hartline School District,0.02
724,Coupeville School District,0.12
742,Crescent School District,0.06
757,Creston School District,0.07
774,Cusick School District,0.15
793,Damman School District,0.14
810,Darrington School District,0.04
828,Davenport School District,0.03
843,Dayton School District,0.09
862,Dieringer School District,0.17
881,East Valley School District (Spokane),0.14
900,East Valley School District (Yakima),0.23
918,Eastmont School District,0.09
937,Eatonville School District,0.0
956,Ellensburg School District,0.25
972,Elma School District,0.07
987,Endicott School District,0.0
1005,Entiat School District,0.0
1023,Enumclaw School District,0.19
1041,Ephrata School District,0.17
1060,Everett School District,0.18
1079,Evergreen School District (Clark),0.36
1098,Federal Way School District,0.0
1117,Ferndale School District,0.26
1136,Fife School District,0.35
1155,Franklin Pierce School District,0.16
1174,Freeman School District,0.07
1191,Garfield School District,0.06
1207,Glenwood School District,0.0
1222,Goldendale School District,0.03
1239,Grand Coulee Dam School District,0.24
1256,Grandview School District,0.42
1274,Granger School District,0.35
1292,Granite Falls School District,0.0
1309,Grapeview School District,0.29
1328,Great Northern School District,0.06
1363,Griffin School District,0.0
1379,Harrington School District,0.0
1388,Highline School District,0.0
1441,Issaquah School District,0.15
1463,Kalama School District,0.07
1479,Keller School District,0.03
1497,Kelso School District,0.03
1516,Kennewick School District,0.1
1533,Kettle Falls School District,0.1
1548,Kiona-Benton City School District,0.1
1561,Kittitas School District,0.06
1574,Klickitat School District,0.0
1593,La Center School District,0.14
1612,La Conner School District,0.16
1646,Lake Quinault School District,0.08
1665,Lake Stevens School District,0.02
1684,Lake Washington School District,0.08
1702,Lakewood School District,0.12
1718,Lamont School District,0.14
1737,Liberty School District,0.05
1756,Lind School District,0.14
1774,Longview School District,0.07
1790,Loon Lake School District,0.05
1808,Lumen Public School,0.05
1825,Lyle School District,0.12
1843,Lynden School District,0.1
1858,Mabton School District,0.44
1870,Mansfield School District,0.07
1886,Mary M Knight School District,0.09
1902,Mary Walker School District,0.08
1919,Marysville School District,0.04
1938,Mccleary School District,0.04
1955,Mead School District,0.17
1972,Medical Lake School District,0.08
1986,Mercer Island School District,0.08
2005,Meridian School District,0.02
2024,Methow Valley School District,0.15
2034,Mill A School District,0.02
2049,Monroe School District,0.05
2067,Montesano School District,0.14
2086,Morton School District,0.12
2096,Moses Lake School District,0.32
2113,Mossyrock School District,0.18
2132,Mount Adams School District,0.54
2151,Mount Baker School District,0.25
2169,Mount Vernon School District,0.06
2203,Mukilteo School District,0.0
2222,Naches Valley School District,0.02
2239,Napavine School District,0.2
2258,Naselle-Grays River Valley School District,0.16
2276,Nespelem School District #14,0.0
2294,Newport School District,0.15
2313,Nooksack Valley School District,0.17
2347,North Kitsap School District,0.02
2364,North Mason School District,0.13
2387,North Thurston Public Schools,0.15
2404,Northport School District,0.01
2422,Northshore School District,0.0
2440,Oak Harbor School District,0.2
2458,Oakesdale School District,0.01
2477,Oakville School District,0.06
2514,Ocosta School District,0.09
2533,Odessa School District,0.0
2549,Okanogan School District,0.1
2567,Onalaska School District,0.05
2598,Orcas Island School District,0.01
2614,Orient School District,0.1
2632,Oroville School District,0.2
2651,Orting School District,0.07
2670,Othello School District,0.06
2686,Palisades School District,0.0
2705,Palouse School District,0.06
2732,Pateros School District,0.06
2748,Paterson School District,0.04
2766,Pe Ell School District,0.12
2776,Peninsula School District,0.13
2791,Pioneer School District,0.2
2804,Pomeroy School District,0.02
2823,Port Townsend School District,0.18
2842,Prescott School District,0.0
2861,Pride Prep Charter School District,0.6
2878,Prosser School District,0.34
2895,Pullman School District,0.26
2913,Puyallup School District,0.3
2931,Queets-Clearwater School District,0.23
2950,Quilcene School District,0.03
2969,Quileute Tribal School District,0.0
2981,Quillayute Valley School District,0.1
3013,Rainier Prep Charter School District,0.0
3029,Rainier School District,0.17
3041,Raymond School District,0.11
3060,Renton School District,0.04
3079,Republic School District,0.23
3111,Ritzville School District,0.16
3130,Riverside School District,0.13
3157,Rochester School District,0.22
3176,Royal School District,0.12
3195,San Juan Island School District,0.08
3211,Satsop School District,0.12
3227,Sedro-Woolley School District,0.03
3246,Selah School District,0.14
3263,Selkirk School District,0.0
3278,Sequim School District,0.0
3296,Shaw Island School District,0.0
3311,Shelton School District,0.05
3328,Shoreline School District,0.01
3345,Skamania School District,0.13
3361,Skykomish School District,0.07
3388,Snoqualmie Valley School District,0.22
3406,Soap Lake School District,0.08
3433,South Kitsap School District,0.17
3452,South Whidbey School District,0.03
3470,Southside School District,0.13
3498,Spokane School District,0.05
3517,Sprague School District,0.07
3536,St. John School District,0.0
3554,Stanwood-Camano School District,0.19
3573,Star School District No. 054,0.0
3590,Starbuck School District,0.0
3608,Stehekin School District,0.0
3626,Steilacoom Hist. School District,0.16
3645,Steptoe School District,0.0
3664,Stevenson-Carson School District,0.29
3681,Sultan School District,0.1
3698,Summit Public School: Atlas,0.0
3716,Summit Public School: Olympus,0.0
3735,Summit Public School: Sierra,0.0
3754,Summit Valley School District,0.06
3773,Sumner School District,0.11
3792,Sunnyside School District,0.3
3811,Suquamish Tribal Education Department,0.04
3827,Tacoma School District,0.15
3845,Taholah School District,0.18
3873,Tenino School District,0.19
3888,Thorp School District,0.04
3920,Tonasket School District,0.15
3939,Toutle Lake School District,0.21
3958,Trout Lake School District,0.0
3976,Tumwater School District,0.12
3995,Union Gap School District,0.24
4014,University Place School District,0.18
4032,Valley School District,0.02
4049,Vashon Island School District,0.02
4064,Wa He Lut Indian School Agency,0.29
4082,Wahkiakum School District,0.13
4099,Wahluke School District,0.13
4116,Waitsburg School District,0.0
4133,Walla Walla Public Schools,0.02
4152,Warden School District,0.16
4169,Washington Center For Deaf And Hard Of Hearing Youth,0.0
4185,Washougal School District,0.15
4198,Washtucna School District,0.09
4217,Waterville School District,0.13
4236,Wenatchee School District,0.08
4255,West Valley School District (Spokane),0.16
4276,White Pass School District,0.31
4290,White Salmon Valley School District,0.19
4306,Wilbur School District,0.14
4324,Willapa Valley School District,0.04
4340,Wilson Creek School District,0.1
4357,Winlock School District,0.2
4376,Wishkah Valley School District,0.08
4395,Wishram School District,0.06
4414,Woodland School District,0.02
4449,Yelm School District,0.22
4468,Zillah School District,0.16
4485,Aberdeen School District,0.17
4503,Anacortes School District,0.13
4520,Bellevue School District,0.29
4538,Castle Rock School District,0.13
4554,Catalyst Public Schools,0.21
4565,Central Valley School District,0.2
4582,Curlew School District,0.07
4598,Deer Park School District,0.15
4612,Dixie School District,0.07
4630,Easton School District,0.11
4647,Edmonds School District,0.0
4671,Finley School District,0.04
4687,Highland School District,0.09
4705,Hood Canal School District,0.0
4720,Hoquiam School District,0.1
4736,Kent School District,0.0
4752,Lacrosse School District,0.01
4769,Manson School District,0.06
4786,Mount Pleasant School District,0.14
4804,Nine Mile Falls School District,0.09
4822,Office Of The Governor (Sch For Blind),0.4
4840,Olympia School District,0.11
4857,Omak School District,0.05
4871,Orchard Prairie School District,0.03
4885,Orondo School District,0.2
4903,Port Angeles School District,0.02
4933,Reardan-Edwall School District,0.11
4948,Richland School District,0.12
4964,Tahoma School District,0.16
4982,Toppenish School District,0.34
5000,Tukwila School District,0.12
5015,Vancouver School District,0.12
5027,Wapato School District,0.3
5040,White River School District,0.24
5054,Evergreen School District (Stevens),0.0
5076,Touchet School District,0.05
5082,Hockinson School District,0.18
5095,Inchelium School District,0.03
5105,Lopez School District,0.02
5118,Boistfort School District,0.14
