,Week,DistrictName,Model_Elementary,Model_Middle,Model_High,GradeLevels_Remote_Phasein,StudentGroups_Remote_Phasein,Other_Remote_Phasein,Enrollment_Elementary,FullTimeALE_Elementary,OptOut_Elementary,TypicalInPerson_Elementary,Weekly_Elementary,Enrollment_Middle,FullTimeALE_Middle,OptOut_Middle,TypicalInPerson_Middle,Weekly_Middle,Enrollment_High,FullTimeALE_High,OptOut_High,TypicalInPerson_High,Weekly_High,OrganizationLevel,County,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities,Unnamed: 0,ProbableCases,ConfirmedCases,7-Day Count,7-Day Average,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,14-Day Count,14-Day Case Rate,_merge
0,1/18/2021,Adna School District,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,216,0,0,216,216,155,0,0,90,155,212,0,0,130,212,District,Lewis,591,293,1,297,5,4,6,45,0,10,521,0,25,8,173,0,8,19,8,64,591,566,583,418,591,583,572,583,527,749,13,154,167,23.86,36,31,28,41,26,5,0,329,409.97,both
1,1/18/2021,Centralia School District,Partial In-Person for All Students,Small Groups + Remote,Small Groups + Remote,"Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12","English Language Learners,Foster Care,Low Income,Homeless,Migrant,Section 504,Students with Disabilities,Other - Write In (Required)",students without internet,1900,0,0,760,1520,500,0,0,50,100,900,0,0,80,160,District,Lewis,3379,1627,4,1748,22,27,38,1347,8,157,1773,440,99,144,2682,73,22,135,65,513,2939,3280,3235,697,3306,3357,3244,3314,2866,749,13,154,167,23.86,36,31,28,41,26,5,0,329,409.97,both
2,1/18/2021,Chehalis School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,1285,0,0,643,1285,655,0,0,328,655,1094,0,0,607,1094,District,Lewis,3068,1455,3,1610,9,25,41,633,8,195,2157,126,74,81,1460,24,44,138,69,494,2942,2994,2987,1608,3044,3024,2930,2999,2574,749,13,154,167,23.86,36,31,28,41,26,5,0,329,409.97,both
3,1/18/2021,Morton School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,159,0,0,0,140,54,0,0,0,49,108,0,0,0,93,District,Lewis,328,150,0,178,1,4,3,41,0,30,249,0,5,21,193,1,9,21,18,53,328,323,307,135,327,319,307,310,275,749,13,154,167,23.86,36,31,28,41,26,5,0,329,409.97,both
4,1/18/2021,Mossyrock School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,290,0,0,197,222,97,0,0,82,88,148,0,0,112,115,District,Lewis,552,263,1,288,7,1,3,131,5,4,401,48,10,3,314,40,0,15,5,101,504,542,549,238,512,552,537,547,451,749,13,154,167,23.86,36,31,28,41,26,5,0,329,409.97,both
5,1/18/2021,Napavine School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,385,0,0,170,328,146,0,0,75,124,218,0,0,105,195,District,Lewis,793,364,0,429,3,5,5,120,1,50,609,20,42,12,346,3,7,30,1,90,773,751,781,447,790,786,763,792,703,749,13,154,167,23.86,36,31,28,41,26,5,0,329,409.97,both
6,1/18/2021,Onalaska School District,Typical/Traditional In-Person,Partial In-Person for All Students,Partial In-Person for All Students,,,,372,0,0,360,360,196,0,0,184,184,226,0,0,215,215,District,Lewis,836,401,0,435,3,2,0,94,1,45,691,26,32,1,486,3,10,34,18,133,810,804,835,350,833,826,802,818,703,749,13,154,167,23.86,36,31,28,41,26,5,0,329,409.97,both
7,1/18/2021,Pe Ell School District,Partial In-Person for All Students,Partial In-Person for All Students,Partial In-Person for All Students,,,,116,0,0,51,102,61,0,0,26,51,79,0,0,38,75,District,Lewis,271,132,0,139,5,1,0,13,0,21,231,0,4,32,162,0,9,11,15,51,271,267,239,109,271,262,260,256,220,749,13,154,167,23.86,36,31,28,41,26,5,0,329,409.97,both
8,1/18/2021,Toledo School District,Partial In-Person for All Students,Partial In-Person for All Students,Phase-In,Grade 12,"Students with Disabilities,Other - Write In (Required)",Students who are failing most classes.,341,0,0,270,270,171,0,0,154,154,261,0,0,129,129,District,Lewis,799,369,1,429,16,3,9,77,1,31,662,12,20,116,404,3,3,40,3,152,787,779,683,395,796,796,759,796,647,749,13,154,167,23.86,36,31,28,41,26,5,0,329,409.97,both
9,1/18/2021,White Pass School District,Partial In-Person for All Students,Partial In-Person for All Students,Small Groups + Remote,"Grade 9,Grade 10,Grade 11,Grade 12","Low Income,Homeless,Section 504,Students with Disabilities",,172,0,0,135,172,54,0,0,12,12,109,0,0,4,14,District,Lewis,354,170,1,183,2,1,4,34,1,7,305,0,6,39,248,2,2,28,3,57,354,348,315,106,352,352,326,351,297,749,13,154,167,23.86,36,31,28,41,26,5,0,329,409.97,both
